utc_ms,utc_iso,lsl_ts,hr,session,session_start_utc_ms,session_start_utc_iso
1769494651192,2026-01-27 06:17:31.192,191090.813744,85.000,no_session,,
1769494651528,2026-01-27 06:17:31.528,191091.791229,85.000,no_session,,
1769494652484,2026-01-27 06:17:32.484,191092.746720,85.000,no_session,,
1769494653448,2026-01-27 06:17:33.448,191093.710579,85.000,no_session,,
1769494654407,2026-01-27 06:17:34.407,191094.668855,84.000,no_session,,
1769494655367,2026-01-27 06:17:35.367,191095.629371,84.000,no_session,,
1769494656327,2026-01-27 06:17:36.327,191096.589390,84.000,no_session,,
1769494657287,2026-01-27 06:17:37.287,191097.549121,84.000,no_session,,
1769494658246,2026-01-27 06:17:38.246,191098.508732,84.000,no_session,,
1769494659209,2026-01-27 06:17:39.209,191099.471406,84.000,no_session,,
1769494660167,2026-01-27 06:17:40.167,191100.429110,84.000,no_session,,
1769494661126,2026-01-27 06:17:41.126,191101.388122,84.000,no_session,,
1769494662568,2026-01-27 06:17:42.568,191102.830641,84.000,no_session,,
1769494663515,2026-01-27 06:17:43.515,191103.777660,84.000,no_session,,
1769494664489,2026-01-27 06:17:44.489,191104.750670,84.000,no_session,,
1769494665447,2026-01-27 06:17:45.447,191105.708960,84.000,no_session,,
1769494666409,2026-01-27 06:17:46.409,191106.671168,84.000,no_session,,
