utc_ms,utc_iso,lsl_ts,hr,session,session_start_utc_ms,session_start_utc_iso
1766397284766,2025-12-22 09:54:44.766,1099900.573376,76.000,1222095440_6e24553f788e4,1766397280847,2025-12-22 09:54:40.847
1766397284127,2025-12-22 09:54:44.127,1099900.576365,77.000,1222095440_6e24553f788e4,1766397280847,2025-12-22 09:54:40.847
1766397285083,2025-12-22 09:54:45.083,1099901.532480,77.000,1222095440_6e24553f788e4,1766397280847,2025-12-22 09:54:40.847
1766397286043,2025-12-22 09:54:46.043,1099902.492232,78.000,1222095440_6e24553f788e4,1766397280847,2025-12-22 09:54:40.847
1766397287001,2025-12-22 09:54:47.001,1099903.451228,78.000,1222095440_6e24553f788e4,1766397280847,2025-12-22 09:54:40.847
1766397287961,2025-12-22 09:54:47.961,1099904.410127,79.000,1222095440_6e24553f788e4,1766397280847,2025-12-22 09:54:40.847
1766397288919,2025-12-22 09:54:48.919,1099905.369223,79.000,1222095440_6e24553f788e4,1766397280847,2025-12-22 09:54:40.847
1766397289884,2025-12-22 09:54:49.884,1099906.333458,79.000,1222095440_6e24553f788e4,1766397280847,2025-12-22 09:54:40.847
1766397290842,2025-12-22 09:54:50.842,1099907.292268,78.000,1222095440_6e24553f788e4,1766397280847,2025-12-22 09:54:40.847
1766397292281,2025-12-22 09:54:52.281,1099908.730481,78.000,1222095440_6e24553f788e4,1766397280847,2025-12-22 09:54:40.847
1766397293242,2025-12-22 09:54:53.242,1099909.691683,78.000,1222095440_6e24553f788e4,1766397280847,2025-12-22 09:54:40.847
1766397294202,2025-12-22 09:54:54.202,1099910.651718,78.000,1222095440_6e24553f788e4,1766397280847,2025-12-22 09:54:40.847
1766397295162,2025-12-22 09:54:55.162,1099911.611378,77.000,1222095440_6e24553f788e4,1766397280847,2025-12-22 09:54:40.847
