utc_ms,utc_iso,lsl_ts,hr,session,session_start_utc_ms,session_start_utc_iso
1769494872017,2026-01-27 06:21:12.017,191311.634069,88.000,no_session,,
1769494872335,2026-01-27 06:21:12.335,191312.593075,87.000,no_session,,
1769494874256,2026-01-27 06:21:14.256,191314.514595,87.000,no_session,,
1769494874260,2026-01-27 06:21:14.260,191314.518155,86.000,no_session,,
1769494875215,2026-01-27 06:21:15.215,191315.473344,85.000,no_session,,
1769494876173,2026-01-27 06:21:16.173,191316.431350,85.000,no_session,,
1769494877134,2026-01-27 06:21:17.134,191317.392194,85.000,no_session,,
1769494878574,2026-01-27 06:21:18.574,191318.832946,84.000,no_session,,
1769494879535,2026-01-27 06:21:19.535,191319.793291,84.000,no_session,,
1769494880495,2026-01-27 06:21:20.495,191320.753611,85.000,no_session,,
1769494881450,2026-01-27 06:21:21.450,191321.709347,85.000,no_session,,
1769494882411,2026-01-27 06:21:22.411,191322.669368,85.000,no_session,,
1769494883373,2026-01-27 06:21:23.373,191323.631457,86.000,no_session,,
1769494884334,2026-01-27 06:21:24.334,191324.592266,86.000,no_session,,
1769494886254,2026-01-27 06:21:26.254,191326.513769,86.000,no_session,,
1769494886258,2026-01-27 06:21:26.258,191326.516789,87.000,no_session,,
1769494887213,2026-01-27 06:21:27.213,191327.472613,87.000,no_session,,
1769494888170,2026-01-27 06:21:28.170,191328.428211,86.000,no_session,,
1769494889134,2026-01-27 06:21:29.134,191329.392353,87.000,no_session,,
1769494890575,2026-01-27 06:21:30.575,191330.833261,87.000,no_session,,
