utc_ms,utc_iso,lsl_ts,hr,session,session_start_utc_ms,session_start_utc_iso
1766468304912,2025-12-23 05:38:24.912,1133089.196293,85.000,1223053823_1a2bbb67e01f4,1766468303667,2025-12-23 05:38:23.667
1766468305708,2025-12-23 05:38:25.708,1133090.633680,86.000,1223053823_1a2bbb67e01f4,1766468303667,2025-12-23 05:38:23.667
1766468306668,2025-12-23 05:38:26.668,1133091.593912,88.000,1223053823_1a2bbb67e01f4,1766468303667,2025-12-23 05:38:23.667
1766468307630,2025-12-23 05:38:27.630,1133092.555993,89.000,1223053823_1a2bbb67e01f4,1766468303667,2025-12-23 05:38:23.667
1766468308589,2025-12-23 05:38:28.589,1133093.514591,90.000,1223053823_1a2bbb67e01f4,1766468303667,2025-12-23 05:38:23.667
1766468309548,2025-12-23 05:38:29.548,1133094.473872,90.000,1223053823_1a2bbb67e01f4,1766468303667,2025-12-23 05:38:23.667
1766468310495,2025-12-23 05:38:30.495,1133095.420298,90.000,1223053823_1a2bbb67e01f4,1766468303667,2025-12-23 05:38:23.667
1766468311470,2025-12-23 05:38:31.470,1133096.395580,91.000,1223053823_1a2bbb67e01f4,1766468303667,2025-12-23 05:38:23.667
1766468312416,2025-12-23 05:38:32.416,1133097.341599,92.000,1223053823_1a2bbb67e01f4,1766468303667,2025-12-23 05:38:23.667
1766468313390,2025-12-23 05:38:33.390,1133098.316497,92.000,1223053823_1a2bbb67e01f4,1766468303667,2025-12-23 05:38:23.667
1766468314342,2025-12-23 05:38:34.342,1133099.267866,91.000,1223053823_1a2bbb67e01f4,1766468303667,2025-12-23 05:38:23.667
1766468315312,2025-12-23 05:38:35.312,1133100.237519,90.000,1223053823_1a2bbb67e01f4,1766468303667,2025-12-23 05:38:23.667
