utc_ms,utc_iso,lsl_ts,hr,session,session_start_utc_ms,session_start_utc_iso
1769491690955,2026-01-27 05:28:10.955,188130.629503,90.000,no_session,,
1769491691290,2026-01-27 05:28:11.290,188131.605407,93.000,no_session,,
1769491692253,2026-01-27 05:28:12.253,188132.568304,93.000,no_session,,
1769491693210,2026-01-27 05:28:13.210,188133.525846,94.000,no_session,,
1769491694151,2026-01-27 05:28:14.151,188134.467296,95.000,no_session,,
1769491695128,2026-01-27 05:28:15.128,188135.443729,95.000,no_session,,
1769491696074,2026-01-27 05:28:16.074,188136.389503,95.000,no_session,,
1769491697529,2026-01-27 05:28:17.529,188137.844391,95.000,no_session,,
1769491698491,2026-01-27 05:28:18.491,188138.806838,94.000,no_session,,
1769491699452,2026-01-27 05:28:19.452,188139.767352,93.000,no_session,,
1769491700408,2026-01-27 05:28:20.408,188140.723333,93.000,no_session,,
1769491701371,2026-01-27 05:28:21.371,188141.685597,93.000,no_session,,
1769491702333,2026-01-27 05:28:22.333,188142.648074,92.000,no_session,,
1769491703291,2026-01-27 05:28:23.291,188143.606208,91.000,no_session,,
1769491704251,2026-01-27 05:28:24.251,188144.566724,90.000,no_session,,
1769491705195,2026-01-27 05:28:25.195,188145.509732,89.000,no_session,,
1769491706169,2026-01-27 05:28:26.169,188146.484459,89.000,no_session,,
1769491708091,2026-01-27 05:28:28.091,188148.407126,87.000,no_session,,
1769491708094,2026-01-27 05:28:28.094,188148.410084,88.000,no_session,,
1769491709530,2026-01-27 05:28:29.530,188149.845979,88.000,no_session,,
1769491710493,2026-01-27 05:28:30.493,188150.808118,88.000,no_session,,
